<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>
2023.01.16,23:00:00,1.08205,1.08247,1.08189,1.0821,640
2023.01.17,0:00:00,1.08197,1.08222,1.08162,1.08219,1743
2023.01.17,1:00:00,1.08219,1.08319,1.08198,1.08297,2556
2023.01.17,2:00:00,1.08297,1.08337,1.08256,1.08287,1580
2023.01.17,3:00:00,1.08287,1.08317,1.08141,1.08171,3050
2023.01.17,4:00:00,1.08169,1.08327,1.0806,1.08143,2758
2023.01.17,5:00:00,1.08143,1.08285,1.08137,1.08251,1972
2023.01.17,6:00:00,1.08251,1.08287,1.08221,1.0826,1280
2023.01.17,7:00:00,1.0826,1.08325,1.0822,1.08311,1840
2023.01.17,8:00:00,1.0831,1.08356,1.08136,1.08146,2682
2023.01.17,9:00:00,1.08146,1.08297,1.0812,1.08282,5943
2023.01.17,10:00:00,1.08282,1.08388,1.08231,1.08274,6674
2023.01.17,11:00:00,1.08273,1.08311,1.0811,1.08172,5648
2023.01.17,12:00:00,1.08174,1.08275,1.08088,1.08217,5990
2023.01.17,13:00:00,1.08217,1.08339,1.08136,1.08322,5480
2023.01.17,14:00:00,1.08326,1.08578,1.08223,1.08529,6511
2023.01.17,15:00:00,1.08527,1.08581,1.08362,1.08426,8567
2023.01.17,16:00:00,1.08427,1.08694,1.08421,1.08628,10272
2023.01.17,17:00:00,1.08631,1.08639,1.07952,1.08017,13383
2023.01.17,18:00:00,1.08017,1.08092,1.0786,1.07925,7844
2023.01.17,19:00:00,1.07929,1.07986,1.07745,1.07822,4591
2023.01.17,20:00:00,1.07822,1.07967,1.07799,1.07953,3265
2023.01.17,21:00:00,1.07954,1.08038,1.07915,1.07935,4862
2023.01.17,22:00:00,1.07934,1.07971,1.07868,1.07937,3974
2023.01.17,23:00:00,1.07933,1.07939,1.07872,1.07876,1537
2023.01.18,0:00:00,1.07879,1.07932,1.07862,1.079,538
2023.01.18,1:00:00,1.07906,1.07932,1.07853,1.07895,1831
